,Change_Perc,Close,Forecast,High_Low_Change,Price_After_Month,Volume
2015-04-27,-11.654676258992813,6.14,,14.16938110749186,5.98,1787406.0
2015-04-28,0.0,6.12,,5.392156862745099,6.39,836933.0
2015-04-29,-1.6393442622950762,6.0,,3.166666666666673,6.03,809595.0
2015-04-30,1.0067114093959666,6.02,,0.49833887043189784,6.17,574262.0
2015-05-01,10.83333333333334,6.65,,0.15037593984962083,6.37,1305454.0
2015-05-04,-7.680722891566262,6.13,,8.319738988580747,6.88,758385.0
2015-05-05,1.4778325123152687,6.18,,0.9708737864077751,6.93,612309.0
2015-05-06,-0.8116883116883088,6.11,,3.1096563011456544,6.68,524119.0
2015-05-07,-1.800327332242231,6.0,,3.4999999999999996,6.58,442108.0
2015-05-08,-1.9736842105263175,5.96,,2.1812080536912735,6.44,287876.0
2015-05-11,3.678929765886283,6.2,,0.6451612903225812,6.47,354661.0
2015-05-12,6.796116504854369,6.6,,1.060606060606065,6.27,739281.0
2015-05-13,-2.2658610271903377,6.47,,2.936630602782077,6.31,376552.0
2015-05-14,-3.98773006134969,6.26,,4.952076677316302,6.13,280860.0
2015-05-15,0.4777070063694166,6.31,,0.7923930269413743,5.83,289988.0
2015-05-18,-0.47619047619048016,6.27,,2.0733652312599804,5.91,268609.0
2015-05-19,1.7684887459807126,6.33,,0.3159557661927263,5.81,269624.0
2015-05-20,-3.4591194968553554,6.14,,3.745928338762222,5.59,335759.0
2015-05-21,1.6722408026755793,6.08,,2.960526315789469,5.7,363121.0
2015-05-22,-0.8237232289950692,6.02,,1.4950166112956937,5.41,281973.0
2015-05-26,0.5016722408026648,6.01,,0.6655574043261238,5.53,349072.0
2015-05-27,1.0016694490817963,6.05,,1.322314049586778,5.46,338148.0
2015-05-28,3.511705685618728,6.19,,0.8077544426494316,5.73,342620.0
2015-05-29,-2.113821138211395,6.02,,2.159468438538219,5.75,275475.0
2015-06-01,-0.16556291390728123,6.03,,0.8291873963515726,5.86,197571.0
2015-06-02,0.4991680532445965,6.04,,1.8211920529801375,5.91,266221.0
2015-06-03,0.8333333333333304,6.05,,0.9917355371900909,6.0,516571.0
2015-06-04,0.33112582781456246,6.06,,0.9900990099009984,5.77,347583.0
2015-06-05,1.8333333333333386,6.11,,0.1636661211129261,5.69,427715.0
2015-06-08,-2.610114192495924,5.97,,2.6800670016750443,5.82,306649.0
2015-06-09,-2.6058631921823983,5.98,,2.675585284280924,5.65,317607.0
2015-06-10,6.3227953410981685,6.39,,0.6259780907668238,5.67,1438830.0
2015-06-11,-3.210272873194224,6.03,,4.1459369817578775,5.47,1183252.0
2015-06-12,2.321724709784406,6.17,,0.16207455429497222,5.49,549073.0
2015-06-15,2.9079159935379595,6.37,,0.0,5.43,703522.0
2015-06-16,8.00627943485086,6.88,,1.453488372093031,5.38,2198026.0
2015-06-17,0.726744186046509,6.93,,2.4531024531024523,5.06,1045643.0
2015-06-18,-4.297994269340984,6.68,,5.688622754491016,5.72,592426.0
2015-06-19,-1.9374068554396409,6.58,,2.12765957446808,5.32,252803.0
2015-06-22,-2.571860816944023,6.44,,3.7267080745341503,5.16,451348.0
2015-06-23,0.1547987616099038,6.47,,1.7001545595054144,5.54,479815.0
2015-06-24,-3.389830508474586,6.27,,5.263157894736844,5.21,329791.0
2015-06-25,0.31796502384737,6.31,,2.060221870047556,4.98,438513.0
2015-06-26,-3.0063291139240564,6.13,,4.078303425774878,4.95,5154269.0
2015-06-29,-4.426229508196715,5.83,,6.346483704974274,4.79,968737.0
2015-06-30,2.7826086956521765,5.91,,0.5076142131979737,4.77,646030.0
2015-07-01,-2.1885521885522015,5.81,,3.614457831325301,4.62,547007.0
2015-07-02,-3.6206896551724133,5.59,,4.47227191413238,4.69,684176.0
2015-07-06,2.8880866425992804,5.7,,0.0,4.51,443142.0
2015-07-07,-4.753521126760556,5.41,,4.990757855822543,4.52,424043.0
2015-07-08,2.7881040892193374,5.53,,0.1808318264014428,4.27,343962.0
2015-07-09,-2.1505376344086042,5.46,,3.663003663003666,4.06,328783.0
2015-07-10,4.371584699453555,5.73,,2.0942408376963213,4.11,458604.0
2015-07-13,0.0,5.75,,0.34782608695651435,3.95,367570.0
2015-07-14,2.4475524475524577,5.86,,0.34129692832763775,3.88,207290.0
2015-07-15,1.3722126929674112,5.91,,0.5076142131979737,3.92,486656.0
2015-07-16,1.5228426395939063,6.0,,0.33333333333332626,4.04,612580.0
2015-07-17,-3.511705685618743,5.77,,4.506065857885627,4.06,389425.0
2015-07-20,-0.8710801393728191,5.69,,0.8787346221441092,4.11,293797.0
2015-07-21,2.2847100175746906,5.82,,1.8900343642611586,3.8,356681.0
2015-07-22,-2.417962003454226,5.65,,2.8318584070796327,3.88,169470.0
2015-07-23,-0.17605633802816525,5.67,,2.8218694885361577,3.86,234634.0
2015-07-24,-3.185840707964612,5.47,,4.7531992687385864,4.0,292878.0
2015-07-27,0.549450549450554,5.49,,1.0928961748633808,3.79,218641.0
2015-07-28,-1.272727272727278,5.43,,2.578268876611429,3.59,222466.0
2015-07-29,-0.9208103130755032,5.38,,1.1152416356877417,3.65,316308.0
2015-07-30,-10.758377425044099,5.06,,14.62450592885376,3.74,1329435.0
2015-07-31,13.492063492063485,5.72,,1.2237762237762289,3.69,847199.0
2015-08-03,-6.172839506172833,5.32,,8.082706766917287,3.69,544246.0
2015-08-04,-1.7142857142857115,5.16,,3.294573643410851,3.81,532285.0
2015-08-05,6.130268199233722,5.54,,3.4296028880866496,3.71,602444.0
2015-08-06,-4.227941176470596,5.21,,5.374280230326301,3.72,505916.0
2015-08-07,0.0,4.98,,2.4096385542168517,3.57,749210.0
2015-08-10,-1.3944223107569602,4.95,,3.6363636363636305,3.45,599512.0
2015-08-11,-2.6422764227642253,4.79,,4.384133611691022,3.39,491798.0
2015-08-12,-0.2092050209205162,4.77,,0.4192872117400517,3.39,696911.0
2015-08-13,-2.941176470588229,4.62,,3.89610389610389,3.19,405898.0
2015-08-14,2.1786492374727784,4.69,,0.6396588486140588,3.18,229394.0
2015-08-17,-0.6607929515418557,4.51,,2.660753880266078,2.83,792294.0
2015-08-18,-0.4405286343612437,4.52,,1.3274336283185952,3.1,682070.0
2015-08-19,-4.260089686098664,4.27,,6.088992974238892,3.05,1391099.0
2015-08-20,-3.7914691943128,4.06,,9.113300492610842,3.21,1714236.0
2015-08-21,5.1150895140665,4.11,,1.7031630170316152,3.48,1236194.0
2015-08-24,1.0230179028133002,3.95,,3.5443037974683462,3.51,680677.0
2015-08-25,-4.433497536945806,3.88,,4.639175257731951,3.77,559279.0
2015-08-26,-0.2544529262086573,3.92,,0.765306122448986,3.79,450349.0
2015-08-27,2.53807106598985,4.04,,0.24752475247524225,3.83,416860.0
2015-08-28,0.9950248756218916,4.06,,1.9704433497536966,3.72,360021.0
2015-08-31,0.7352941176470649,4.11,,1.4598540145985306,3.7,218379.0
2015-09-01,-5.940594059405946,3.8,,9.473684210526324,3.72,473264.0
2015-09-02,0.5181347150259072,3.88,,2.319587628865987,3.86,264908.0
2015-09-03,-1.2787723785166307,3.86,,2.5906735751295358,3.87,427447.0
2015-09-04,5.263157894736848,4.0,,2.0000000000000018,3.99,491088.0
2015-09-08,-5.7213930348258595,3.79,,7.651715039577837,3.89,577654.0
2015-09-09,-3.234501347708898,3.59,,4.1782729805014025,3.85,913600.0
2015-09-10,1.388888888888884,3.65,,1.3698630136986376,3.92,339667.0
2015-09-11,3.314917127071826,3.74,,0.2673796791443793,3.96,358640.0
2015-09-14,-1.3368983957219323,3.69,,2.439024390243899,3.77,207634.0
2015-09-15,-0.539083557951483,3.69,,4.336043360433608,3.75,281853.0
2015-09-16,3.5326086956521707,3.81,,3.6745406824147016,3.97,272767.0
2015-09-17,-1.8518518518518476,3.71,,5.929919137466313,3.95,413837.0
2015-09-18,2.4793388429752152,3.72,,4.032258064516126,3.86,1335054.0
2015-09-21,-4.800000000000004,3.57,,5.322128851540615,4.12,386091.0
2015-09-22,-2.542372881355928,3.45,,2.6086956521739086,4.15,814885.0
2015-09-23,-2.3054755043227684,3.39,,2.359882005899707,4.19,451664.0
2015-09-24,0.2958579881656873,3.39,,0.5899705014749268,4.1,242183.0
2015-09-25,-6.176470588235293,3.19,,7.523510971786841,4.49,357489.0
2015-09-28,0.6329113924050638,3.18,,2.201257861635215,4.39,539103.0
